Condition;ResponseTime
TD_B;17964
TD_B;12123
TD_B;18516
TD_B;14209
TD_B;20322
TD_B;10196
TD_B;31489
TD_B;5910
TD_B;8210
TD_B;5163
TD_B;16869
TD_B;19365
TD_B;20618
TD_B;30587
TD_B;30568
TD_B;21531
TD_B;21342
TD_B;22663
TD_B;25939
TD_B;27020
TD_B;20927
TD_B;13669
TD_B;15906
TD_B;10764
TD_B;22659
TD_B;26230
TD_B;18105
TD_B;13465
TD_B;22660
TD_B;21817
TD_B;30485
TD_B;11831
TD_B;15911
TD_B;17879
TD_B;12471
TD_B;32081
TD_B;31957
TD_B;25372
TD_B;30435
TD_B;31941
TD_B;21446
TD_B;10587
TD_B;10243
TD_B;8431
TD_B;19867
TD_N;15155
TD_N;25205
TD_N;22762
TD_N;26229
TD_N;16845
TD_N;14658
TD_N;7127
TD_N;8872
TD_N;11194
TD_N;14040
TD_N;30754
TD_N;30538
TD_N;23915
TD_N;27929
TD_N;30573
TD_N;24080
TD_N;32158
TD_N;25171
TD_N;19965
TD_N;19966
TD_N;12862
TD_N;19284
TD_N;14805
TD_N;25497
TD_N;13284
TD_N;27315
TD_N;20123
TD_N;16266
TD_N;24144
TD_N;24902
TD_N;20741
TD_N;27203
TD_N;23426
TD_N;17315
TD_N;20946
TD_N;30944
TD_N;31575
TD_N;30432
TD_N;30467
TD_N;30445
TD_N;12536
TD_N;11795
TD_N;21728
TD_N;25272
TD_N;18969
TD_U;19046
TD_U;20608
TD_U;19587
TD_U;22863
TD_U;24409
TD_U;7290
TD_U;8300
TD_U;4984
TD_U;22989
TD_U;20021
TD_U;24709
TD_U;20638
TD_U;21162
TD_U;32273
TD_U;23922
TD_U;15291
TD_U;15877
TD_U;14096
TD_U;25085
TD_U;23935
TD_U;9489
TD_U;11869
TD_U;23418
TD_U;29107
TD_U;16284
TD_U;13288
TD_U;18421
TD_U;9699
TD_U;28734
TD_U;26549
TD_U;19802
TD_U;8640
TD_U;22839
TD_U;30910
TD_U;31106
TD_U;30360
TD_U;27320
TD_U;31168
TD_U;31132
TD_U;14337
TD_U;30634
TD_U;16014
TD_U;18234
TD_U;26104
BU;31822
BU;25632
BU;24237
BU;20218
BU;31131
BU;28199
BU;8406
BU;10445
BU;17493
BU;16892
BU;31392
BU;24231
BU;30406
BU;23386
BU;29050
BU;31334
BU;31007
BU;32103
BU;18645
BU;24402
BU;21665
BU;32307
BU;18163
BU;30409
BU;27275
BU;18757
BU;25850
BU;16361
BU;25465
BU;31571
BU;17714
BU;24462
BU;22125
BU;23901
BU;30467
BU;31715
BU;32119
BU;22599
BU;28740
BU;17530
BU;23306
BU;30540
BU;24396
